id,nombre,precio,categoria,stock,descripcion
P001,Laptop Gaming Asus,1299.99,Computadoras,50,Laptop gaming de alta gama
P002,Mouse Logitech G502,89.99,Periféricos,100,Mouse gaming profesional
P003,Teclado Mecánico RGB,129.99,Periféricos,75,Teclado mecánico con retroiluminación
P004,Monitor 27" 4K,399.99,Monitores,30,Monitor de alta resolución
P005,SSD 1TB Samsung,149.99,Almacenamiento,200,Disco de estado sólido
P006,Tarjeta Gráfica RTX 3080,799.99,Componentes,25,GPU de alto rendimiento
P007,Procesador Intel i9,549.99,Componentes,40,CPU de última generación
P008,Memoria RAM 32GB,199.99,Componentes,150,Kit de memoria DDR4
P009,Gabinete Gaming RGB,129.99,Componentes,60,Case con iluminación RGB
P010,Fuente 850W Gold,159.99,Componentes,45,Fuente de poder certificada
P011,Webcam 4K,89.99,Periféricos,80,Cámara web HD
P012,Audífonos Gaming,129.99,Audio,100,Audífonos con micrófono
P013,Parlantes 2.1,79.99,Audio,70,Sistema de sonido
P014,Router Gaming,199.99,Redes,40,Router para gaming
P015,Cable HDMI 2.1,29.99,Cables,300,Cable de alta velocidad